"state","year","month","period","indicator","data_value","percent_complete","percent_pending_investigation","state_name","footnote","footnote_symbol","predicted_value"
"AK","2023","April","12 month-ending","Cocaine (T40.5)","24","100","0","Alaska","Numbers may differ from published reports using final data. See Technical Notes.","**","24"
"AK","2023","May","12 month-ending","Cocaine (T40.5)","27","100","0","Alaska","Numbers may differ from published reports using final data. See Technical Notes.","**","27"
"AK","2023","June","12 month-ending","Cocaine (T40.5)","28","100","0","Alaska","Numbers may differ from published reports using final data. See Technical Notes.","**","28"
"AK","2023","July","12 month-ending","Cocaine (T40.5)","29","100","0","Alaska","Numbers may differ from published reports using final data. See Technical Notes.","**","29"
"AK","2023","August","12 month-ending","Cocaine (T40.5)","31","100","0","Alaska","Numbers may differ from published reports using final data. See Technical Notes.","**","31"
"AK","2023","September","12 month-ending","Cocaine (T40.5)","34","100","0","Alaska","Numbers may differ from published reports using final data. See Technical Notes.","**","34"
"AK","2023","October","12 month-ending","Cocaine (T40.5)","31","100","0","Alaska","Numbers may differ from published reports using final data. See Technical Notes.","**","31"
"AK","2023","November","12 month-ending","Cocaine (T40.5)","30","100","0","Alaska","Numbers may differ from published reports using final data. See Technical Notes.","**","30"
"AK","2023","December","12 month-ending","Cocaine (T40.5)","31","100","0","Alaska","Numbers may differ from published reports using final data. See Technical Notes.","**","31"
"AK","2024","January","12 month-ending","Cocaine (T40.5)","35","100","0","Alaska","Underreported due to incomplete data.","*","35"
"AK","2024","February","12 month-ending","Cocaine (T40.5)","36","100","0","Alaska","Underreported due to incomplete data.","*","36"
"AK","2024","March","12 month-ending","Cocaine (T40.5)","36","100","0","Alaska","Underreported due to incomplete data.","*","36"
"AK","2024","April","12 month-ending","Cocaine (T40.5)","39","100","0","Alaska","Underreported due to incomplete data.","*","39"
"AK","2024","May","12 month-ending","Cocaine (T40.5)","39","100","0","Alaska","Underreported due to incomplete data.","*","39"
"AK","2024","June","12 month-ending","Cocaine (T40.5)","38","100","0","Alaska","Underreported due to incomplete data.","*","38"
"AK","2024","July","12 month-ending","Cocaine (T40.5)","39","100","0","Alaska","Underreported due to incomplete data.","*","39"
"AK","2024","August","12 month-ending","Cocaine (T40.5)","37","100","0","Alaska","Underreported due to incomplete data.","*","37"
"AK","2024","September","12 month-ending","Cocaine (T40.5)","33","100","0","Alaska","Underreported due to incomplete data.","*","33"
"AK","2024","October","12 month-ending","Cocaine (T40.5)","32","100","0","Alaska","Underreported due to incomplete data.","*","32"
"AK","2024","November","12 month-ending","Cocaine (T40.5)","34","100","0","Alaska","Underreported due to incomplete data.","*","34"
"AK","2024","December","12 month-ending","Cocaine (T40.5)","31","100","0","Alaska","Underreported due to incomplete data.","*","31"
"AK","2025","January","12 month-ending","Cocaine (T40.5)","26","100","0","Alaska","Underreported due to incomplete data.","*","26"
"AK","2025","February","12 month-ending","Cocaine (T40.5)","28","100","0","Alaska","Underreported due to incomplete data.","*","28"
"AK","2025","March","12 month-ending","Cocaine (T40.5)","30","100","0","Alaska","Underreported due to incomplete data.","*","30"
"AK","2025","April","12 month-ending","Cocaine (T40.5)","28","100","0","Alaska","Underreported due to incomplete data.","*","28"
"AK","2025","May","12 month-ending","Cocaine (T40.5)","28","100","0","Alaska","Underreported due to incomplete data.","*","28"
"AK","2025","June","12 month-ending","Cocaine (T40.5)","30","100","0","Alaska","Underreported due to incomplete data.","*","30"
"AK","2025","July","12 month-ending","Cocaine (T40.5)","31","100","0","Alaska","Underreported due to incomplete data.","*","31"
"AK","2025","August","12 month-ending","Cocaine (T40.5)","31","100","0","Alaska","Underreported due to incomplete data.","*","31"
"AK","2025","September","12 month-ending","Cocaine (T40.5)","35","100","0","Alaska","Underreported due to incomplete data.","*","35"
"AK","2025","October","12 month-ending","Cocaine (T40.5)","38","100","0","Alaska","Underreported due to incomplete data.","*","38"
